Options.TAB[K45.EUIS.MonitorsData]	Monitors
Options.OPTION[K45.EUIS.UseMonitor2]	Use Monitor #2
Options.OPTION[K45.EUIS.UseMonitor3]	Use Monitor #3
Options.OPTION[K45.EUIS.UseMonitor4]	Use Monitor #4
Options.OPTION[K45.EUIS.UseMonitor5]	Use Monitor #5
Options.OPTION[K45.EUIS.UseMonitor6]	Use Monitor #6
Options.OPTION[K45.EUIS.UseMonitor7]	Use Monitor #7
Options.OPTION[K45.EUIS.UseMonitor8]	Use Monitor #8
Options.OPTION_DESCRIPTION[K45.EUIS.UseMonitor2]	Allow Monitor 2 to be used as extra Screen. Needs restarting game to disable take effect.
Options.OPTION_DESCRIPTION[K45.EUIS.UseMonitor3]	Allow Monitor 3 to be used as extra Screen. Needs restarting game to disable take effect.
Options.OPTION_DESCRIPTION[K45.EUIS.UseMonitor4]	Allow Monitor 4 to be used as extra Screen. Needs restarting game to disable take effect.
Options.OPTION_DESCRIPTION[K45.EUIS.UseMonitor5]	Allow Monitor 5 to be used as extra Screen. Needs restarting game to disable take effect;
Options.OPTION_DESCRIPTION[K45.EUIS.UseMonitor6]	Allow Monitor 6 to be used as extra Screen. Needs restarting game to disable take effect.
Options.OPTION_DESCRIPTION[K45.EUIS.UseMonitor7]	Allow Monitor 7 to be used as extra Screen. Needs restarting game to disable take effect.
Options.OPTION_DESCRIPTION[K45.EUIS.UseMonitor8]	Allow Monitor 8 to be used as extra Screen. Needs restarting game to disable take effect.
Options.OPTION[K45.EUIS.NoMonitors]	No extra monitors detected.
K45::EUIS.root[MonitorTitle]	This is the monitor #{0}
K45::EUIS.root[MonitorSubtitle]	Select applications in each screen
K45::EUIS.root[Table.AppNameColumn]	Application Name
K45::EUIS.root[Table.ShowInMonitorCol]	Show in Monitor {0}
K45::EUIS.root[SaveAppsAsDefault]	Save selection as default
